match_id,match_date,year,opponent,tournament,venue_type,goals_for,goals_against,goal_difference,result
21884,1997-04-20,1997,United States,FIFA World Cup qualification,Away,2,2,0,Draw
36793,2013-03-22,2013,Honduras,FIFA World Cup qualification,Away,2,2,0,Draw
22871,1998-06-25,1998,Netherlands,FIFA World Cup,Neutral,2,2,0,Draw
43531,2020-10-13,2020,Algeria,Friendly,Neutral,2,2,0,Draw
48642,2025-09-09,2025,South Korea,Friendly,Neutral,2,2,0,Draw
5004,1960-03-06,1960,Brazil,Pan American Championship,Neutral,2,2,0,Draw
21126,1996-06-12,1996,Republic of Ireland,USA Cup,Neutral,2,2,0,Draw
40758,2017-06-18,2017,Portugal,Confederations Cup,Neutral,2,2,0,Draw
36914,2013-05-31,2013,Nigeria,Friendly,Neutral,2,2,0,Draw
31350,2007-10-14,2007,Nigeria,Friendly,Home,2,2,0,Draw
28403,2004-07-07,2004,Uruguay,Copa América,Neutral,2,2,0,Draw
34251,2010-10-12,2010,Venezuela,Friendly,Home,2,2,0,Draw
21156,1996-06-16,1996,United States,USA Cup,Away,2,2,0,Draw
6215,1965-03-07,1965,United States,FIFA World Cup qualification,Away,2,2,0,Draw
17652,1991-03-12,1991,United States,NAFU Championship,Away,2,2,0,Draw
24582,2000-06-04,2000,Republic of Ireland,USA Cup,Neutral,2,2,0,Draw
7942,1969-12-04,1969,Curaçao,CONCACAF Championship,Neutral,2,2,0,Draw
23206,1998-11-18,1998,Guatemala,Friendly,Neutral,2,2,0,Draw
23614,1999-06-09,1999,Argentina,Friendly,Neutral,2,2,0,Draw
7355,1968-05-28,1968,Uruguay,Friendly,Home,2,2,0,Draw
22399,1997-10-12,1997,Canada,FIFA World Cup qualification,Away,2,2,0,Draw
12344,1980-08-24,1980,Australia,Friendly,Away,2,2,0,Draw
46382,2023-09-09,2023,Australia,Friendly,Neutral,2,2,0,Draw
45957,2023-03-26,2023,Jamaica,CONCACAF Nations League,Home,2,2,0,Draw
39110,2015-09-08,2015,Argentina,Friendly,Neutral,2,2,0,Draw
32485,2008-10-15,2008,Canada,FIFA World Cup qualification,Away,2,2,0,Draw
46036,2023-06-10,2023,Cameroon,Friendly,Neutral,2,2,0,Draw
23751,1999-07-27,1999,Egypt,Confederations Cup,Home,2,2,0,Draw
46633,2023-10-17,2023,Germany,Friendly,Neutral,2,2,0,Draw
12206,1980-04-29,1980,Guatemala,Friendly,Home,2,2,0,Draw
2286,1938-02-20,1938,Panama,Central American and Caribbean Games,Away,2,2,0,Draw
20704,1995-11-29,1995,Colombia,Friendly,Neutral,2,2,0,Draw
5459,1962-04-04,1962,Colombia,Friendly,Away,2,2,0,Draw
33422,2009-10-14,2009,Trinidad and Tobago,FIFA World Cup qualification,Away,2,2,0,Draw
44802,2021-12-08,2021,Chile,Friendly,Neutral,2,2,0,Draw
11021,1977-06-14,1977,Germany,Friendly,Home,2,2,0,Draw
22850,1998-06-20,1998,Belgium,FIFA World Cup,Neutral,2,2,0,Draw
31687,2008-02-06,2008,United States,Friendly,Away,2,2,0,Draw
38883,2015-06-27,2015,Costa Rica,Friendly,Neutral,2,2,0,Draw
45755,2022-11-30,2022,Saudi Arabia,FIFA World Cup,Neutral,2,1,1,Win
35975,2012-06-12,2012,El Salvador,FIFA World Cup qualification,Away,2,1,1,Win
33840,2010-06-03,2010,Italy,Friendly,Neutral,2,1,1,Win
8995,1972-09-06,1972,Canada,CONCACAF Championship qualification,Home,2,1,1,Win
48203,2025-03-23,2025,Panama,CONCACAF Nations League,Neutral,2,1,1,Win
20413,1995-06-24,1995,Nigeria,USA Cup,Neutral,2,1,1,Win
28980,2005-02-09,2005,Costa Rica,FIFA World Cup qualification,Away,2,1,1,Win
7386,1968-07-10,1968,Brazil,Friendly,Home,2,1,1,Win
32556,2008-11-12,2008,Ecuador,Friendly,Neutral,2,1,1,Win
19571,1994-02-24,1994,Sweden,Friendly,Neutral,2,1,1,Win
873,1923-12-09,1923,Guatemala,Friendly,Home,2,1,1,Win
31026,2007-07-01,2007,Ecuador,Copa América,Neutral,2,1,1,Win
22795,1998-05-31,1998,Japan,Friendly,Neutral,2,1,1,Win
31749,2008-03-26,2008,Ghana,Friendly,Neutral,2,1,1,Win
25922,2001-09-02,2001,Jamaica,FIFA World Cup qualification,Away,2,1,1,Win
19007,1993-05-09,1993,Canada,FIFA World Cup qualification,Away,2,1,1,Win
37056,2013-06-22,2013,Japan,Confederations Cup,Neutral,2,1,1,Win
38947,2015-07-22,2015,Panama,Gold Cup,Neutral,2,1,1,Win
25823,2001-07-25,2001,Uruguay,Copa América,Neutral,2,1,1,Win
30929,2007-06-08,2007,Cuba,Gold Cup,Neutral,2,1,1,Win
41667,2018-06-23,2018,South Korea,FIFA World Cup,Neutral,2,1,1,Win
17208,1990-03-20,1990,Uruguay,Friendly,Neutral,2,1,1,Win
20605,1995-10-11,1995,Saudi Arabia,Friendly,Neutral,2,1,1,Win
29933,2006-05-12,2006,DR Congo,Friendly,Home,2,1,1,Win
6264,1965-04-11,1965,Guatemala,CONCACAF Championship,Away,2,1,1,Win
29884,2006-03-29,2006,Paraguay,Friendly,Neutral,2,1,1,Win
30762,2007-03-25,2007,Paraguay,Friendly,Home,2,1,1,Win
33735,2010-03-17,2010,North Korea,Friendly,Home,2,1,1,Win
43324,2019-11-19,2019,Bermuda,CONCACAF Nations League,Home,2,1,1,Win
14615,1985-02-26,1985,Finland,Friendly,Home,2,1,1,Win
37349,2013-10-11,2013,Panama,FIFA World Cup qualification,Home,2,1,1,Win
16569,1989-02-21,1989,Guatemala,Friendly,Neutral,2,1,1,Win
28425,2004-07-13,2004,Ecuador,Copa América,Neutral,2,1,1,Win
43930,2021-05-29,2021,Iceland,Friendly,Neutral,2,1,1,Win
23394,1999-03-11,1999,Bolivia,USA Cup,Neutral,2,1,1,Win
40767,2017-06-24,2017,Russia,Confederations Cup,Away,2,1,1,Win
23733,1999-07-17,1999,Chile,Copa América,Neutral,2,1,1,Win
28746,2004-10-27,2004,Ecuador,Friendly,Neutral,2,1,1,Win
2289,1938-02-22,1938,Costa Rica,Central American and Caribbean Games,Neutral,2,1,1,Win
33041,2009-06-10,2009,Trinidad and Tobago,FIFA World Cup qualification,Home,2,1,1,Win
44348,2021-09-02,2021,Jamaica,FIFA World Cup qualification,Home,2,1,1,Win
26387,2002-05-12,2002,Colombia,Friendly,Home,2,1,1,Win
18375,1992-07-26,1992,El Salvador,Friendly,Away,2,1,1,Win
48506,2025-07-06,2025,United States,Gold Cup,Away,2,1,1,Win
4871,1959-05-24,1959,England,Friendly,Home,2,1,1,Win
33199,2009-08-12,2009,United States,FIFA World Cup qualification,Home,2,1,1,Win
15088,1985-12-03,1985,South Korea,Friendly,Neutral,2,1,1,Win
19403,1993-10-20,1993,Ukraine,Friendly,Neutral,2,1,1,Win
5498,1962-05-22,1962,Wales,Friendly,Home,2,1,1,Win
34839,2011-06-18,2011,Guatemala,Gold Cup,Neutral,2,1,1,Win
40150,2016-10-08,2016,New Zealand,Friendly,Neutral,2,1,1,Win
23399,1999-03-13,1999,United States,USA Cup,Away,2,1,1,Win
35826,2012-05-31,2012,Bosnia and Herzegovina,Friendly,Neutral,2,1,1,Win
10980,1977-05-24,1977,Peru,Friendly,Home,2,1,1,Win
29108,2005-03-27,2005,United States,FIFA World Cup qualification,Home,2,1,1,Win
32236,2008-08-20,2008,Honduras,FIFA World Cup qualification,Home,2,1,1,Win
45147,2022-05-28,2022,Nigeria,Friendly,Neutral,2,1,1,Win
40824,2017-07-01,2017,Paraguay,Friendly,Neutral,2,1,1,Win
7126,1967-08-22,1967,Argentina,Friendly,Home,2,1,1,Win
