match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
42548,2019-06-09,Mexico,Ecuador,3.0,2.0,Friendly,Arlington,United States,True,2019-06-09|Mexico|Ecuador|Friendly|3.0|2.0|Arlington
42607,2019-06-15,Mexico,Cuba,7.0,0.0,Gold Cup,Los Angeles,United States,True,2019-06-15|Mexico|Cuba|Gold Cup|7.0|0.0|Los Angeles
42645,2019-06-19,Mexico,Canada,3.0,1.0,Gold Cup,Denver,United States,True,2019-06-19|Mexico|Canada|Gold Cup|3.0|1.0|Denver
42674,2019-06-23,Martinique,Mexico,2.0,3.0,Gold Cup,Charlotte,United States,True,2019-06-23|Martinique|Mexico|Gold Cup|2.0|3.0|Charlotte
42706,2019-06-29,Mexico,Costa Rica,1.0,1.0,Gold Cup,Houston,United States,True,2019-06-29|Mexico|Costa Rica|Gold Cup|1.0|1.0|Houston
42722,2019-07-02,Haiti,Mexico,0.0,1.0,Gold Cup,Glendale,United States,True,2019-07-02|Haiti|Mexico|Gold Cup|0.0|1.0|Glendale
42733,2019-07-07,United States,Mexico,0.0,1.0,Gold Cup,Chicago,United States,False,2019-07-07|United States|Mexico|Gold Cup|0.0|1.0|Chicago
42872,2019-09-06,United States,Mexico,0.0,3.0,Friendly,East Rutherford,United States,False,2019-09-06|United States|Mexico|Friendly|0.0|3.0|East Rutherford
42940,2019-09-10,Argentina,Mexico,4.0,0.0,Friendly,San Antonio,United States,True,2019-09-10|Argentina|Mexico|Friendly|4.0|0.0|San Antonio
42994,2019-10-02,Mexico,Trinidad and Tobago,2.0,0.0,Friendly,Toluca,Mexico,False,2019-10-02|Mexico|Trinidad and Tobago|Friendly|2.0|0.0|Toluca
43055,2019-10-11,Bermuda,Mexico,1.0,5.0,CONCACAF Nations League,Hamilton,Bermuda,False,2019-10-11|Bermuda|Mexico|CONCACAF Nations League|1.0|5.0|Hamilton
43139,2019-10-15,Mexico,Panama,3.0,1.0,CONCACAF Nations League,Mexico City,Mexico,False,2019-10-15|Mexico|Panama|CONCACAF Nations League|3.0|1.0|Mexico City
43237,2019-11-15,Panama,Mexico,0.0,3.0,CONCACAF Nations League,Panama City,Panama,False,2019-11-15|Panama|Mexico|CONCACAF Nations League|0.0|3.0|Panama City
43324,2019-11-19,Mexico,Bermuda,2.0,1.0,CONCACAF Nations League,Mexico City,Mexico,False,2019-11-19|Mexico|Bermuda|CONCACAF Nations League|2.0|1.0|Mexico City
43449,2020-10-07,Netherlands,Mexico,0.0,1.0,Friendly,Amsterdam,Netherlands,False,2020-10-07|Netherlands|Mexico|Friendly|0.0|1.0|Amsterdam
43531,2020-10-13,Mexico,Algeria,2.0,2.0,Friendly,The Hague,Netherlands,True,2020-10-13|Mexico|Algeria|Friendly|2.0|2.0|The Hague
43632,2020-11-14,Mexico,South Korea,3.0,2.0,Friendly,Wiener Neustadt,Austria,True,2020-11-14|Mexico|South Korea|Friendly|3.0|2.0|Wiener Neustadt
43683,2020-11-17,Japan,Mexico,0.0,2.0,Friendly,Graz,Austria,True,2020-11-17|Japan|Mexico|Friendly|0.0|2.0|Graz
43811,2021-03-27,Wales,Mexico,1.0,0.0,Friendly,Cardiff,Wales,False,2021-03-27|Wales|Mexico|Friendly|1.0|0.0|Cardiff
43872,2021-03-30,Costa Rica,Mexico,0.0,1.0,Friendly,Wiener Neustadt,Austria,True,2021-03-30|Costa Rica|Mexico|Friendly|0.0|1.0|Wiener Neustadt
43930,2021-05-29,Mexico,Iceland,2.0,1.0,Friendly,Arlington,United States,True,2021-05-29|Mexico|Iceland|Friendly|2.0|1.0|Arlington
43965,2021-06-03,Mexico,Costa Rica,0.0,0.0,CONCACAF Nations League,Denver,United States,True,2021-06-03|Mexico|Costa Rica|CONCACAF Nations League|0.0|0.0|Denver
44027,2021-06-06,United States,Mexico,3.0,2.0,CONCACAF Nations League,Denver,United States,False,2021-06-06|United States|Mexico|CONCACAF Nations League|3.0|2.0|Denver
44105,2021-06-12,Mexico,Honduras,0.0,0.0,Friendly,Atlanta,United States,True,2021-06-12|Mexico|Honduras|Friendly|0.0|0.0|Atlanta
44202,2021-06-30,Mexico,Panama,3.0,0.0,Friendly,Nashville,United States,True,2021-06-30|Mexico|Panama|Friendly|3.0|0.0|Nashville
44212,2021-07-03,Mexico,Nigeria,4.0,0.0,Friendly,Nashville,United States,True,2021-07-03|Mexico|Nigeria|Friendly|4.0|0.0|Nashville
44238,2021-07-10,Mexico,Trinidad and Tobago,0.0,0.0,Gold Cup,Arlington,United States,True,2021-07-10|Mexico|Trinidad and Tobago|Gold Cup|0.0|0.0|Arlington
44258,2021-07-14,Guatemala,Mexico,0.0,3.0,Gold Cup,Dallas,United States,True,2021-07-14|Guatemala|Mexico|Gold Cup|0.0|3.0|Dallas
